date,temp_max,temp_min,humidity_specific,pressure,precipitation_total,solar_radiation,wind_speed,evapotranspiration,soil_moisture_surface,dew_point_temp,lat,lon
1984-01-01,19.55,8.6,6.21,100.37,0.08,3.7054,2.82,0.0,0.2,6.71,29.9870753,31.2118063
1984-01-02,19.51,8.81,6.0,100.85,0.0,3.3499,2.24,0.0,0.2,6.41,29.9870753,31.2118063
1984-01-03,19.69,7.56,6.24,100.89,0.06,3.5191,1.74,0.0,0.2,7.05,29.9870753,31.2118063
1984-01-04,18.43,7.94,6.17,100.55,0.01,3.45,1.86,0.0,0.2,6.68,29.9870753,31.2118063
1984-01-05,18.31,6.57,5.72,100.46,0.0,3.5035,1.35,0.0,0.2,5.72,29.9870753,31.2118063
1984-01-06,15.93,7.91,5.68,100.11,0.0,2.7682,1.79,0.0,0.2,5.54,29.9870753,31.2118063
1984-01-07,18.6,9.53,4.14,100.15,0.0,3.8138,2.46,0.0,0.2,1.15,29.9870753,31.2118063
1984-01-08,17.53,6.13,4.11,100.37,0.01,3.9247,1.7,0.0,0.2,0.9,29.9870753,31.2118063
1984-01-09,18.04,3.53,3.82,100.64,0.0,3.8196,1.71,0.0,0.19,0.08,29.9870753,31.2118063
1984-01-10,19.79,5.54,4.98,100.69,0.01,3.2095,1.47,0.0,0.19,3.72,29.9870753,31.2118063
1984-01-11,19.56,6.0,5.7,100.41,0.0,3.6614,2.47,0.0,0.19,5.61,29.9870753,31.2118063
1984-01-12,17.94,9.23,5.27,99.84,0.0,3.4157,2.01,0.0,0.19,4.17,29.9870753,31.2118063
1984-01-13,17.23,8.34,3.43,99.81,0.0,3.7466,3.97,0.0,0.19,-1.53,29.9870753,31.2118063
1984-01-14,15.63,6.31,4.53,100.07,0.01,2.3477,2.04,0.0,0.19,2.09,29.9870753,31.2118063
1984-01-15,14.8,7.4,6.16,100.05,0.23,1.7791,2.79,0.0,0.19,6.79,29.9870753,31.2118063
1984-01-16,17.52,7.1,6.03,100.54,1.09,3.3746,2.9,0.0,0.22,6.39,29.9870753,31.2118063
1984-01-17,16.35,6.18,5.17,100.36,0.79,3.3811,4.32,0.0,0.24,4.26,29.9870753,31.2118063
1984-01-18,17.02,7.2,4.84,100.32,0.18,1.9649,3.35,0.0,0.25,3.31,29.9870753,31.2118063
1984-01-19,17.48,7.43,5.46,100.44,0.08,3.5534,1.7,0.0,0.25,5.07,29.9870753,31.2118063
1984-01-20,18.72,7.01,6.15,100.49,0.12,3.9682,1.82,0.0,0.25,6.81,29.9870753,31.2118063
1984-01-21,18.27,6.6,6.01,100.52,0.0,3.119,2.73,0.0,0.25,6.42,29.9870753,31.2118063
1984-01-22,19.52,7.81,5.66,100.52,0.0,4.0282,2.31,0.0,0.25,5.62,29.9870753,31.2118063
1984-01-23,16.79,5.52,6.12,100.15,0.0,2.9695,1.6,0.0,0.24,6.7,29.9870753,31.2118063
1984-01-24,19.16,5.24,4.97,99.88,0.0,4.2451,1.58,0.0,0.24,3.37,29.9870753,31.2118063
1984-01-25,19.82,4.05,3.56,99.93,0.0,3.8837,2.95,0.0,0.24,-0.98,29.9870753,31.2118063
1984-01-26,16.45,5.77,3.77,100.04,0.0,3.6046,4.46,0.0,0.24,-0.28,29.9870753,31.2118063
1984-01-27,15.04,3.73,4.76,100.48,0.0,3.0655,3.82,0.0,0.23,3.18,29.9870753,31.2118063
1984-01-28,17.22,7.15,4.6,100.76,0.0,4.2173,3.19,0.0,0.23,2.64,29.9870753,31.2118063
1984-01-29,19.07,5.74,4.95,100.75,0.0,4.0056,1.86,0.0,0.23,3.65,29.9870753,31.2118063
1984-01-30,19.65,6.5,5.71,100.63,0.0,4.1006,1.26,0.0,0.23,5.7,29.9870753,31.2118063
1984-01-31,21.3,6.79,5.4,100.37,0.0,3.9514,1.35,0.0,0.23,4.83,29.9870753,31.2118063
1984-02-01,22.69,9.13,4.1,100.04,0.0,3.8777,1.39,0.0,0.22,0.9,29.9870753,31.2118063
1984-02-02,27.59,11.75,2.94,99.43,0.0,4.3416,2.9,0.0,0.22,-3.53,29.9870753,31.2118063
1984-02-03,21.18,7.05,4.38,99.79,0.0,4.0728,2.08,0.0,0.21,1.38,29.9870753,31.2118063
1984-02-04,20.67,8.09,5.66,100.04,0.0,4.0685,1.41,0.0,0.21,5.24,29.9870753,31.2118063
1984-02-05,23.76,6.84,5.12,99.62,0.0,4.6726,2.23,0.0,0.21,3.77,29.9870753,31.2118063
1984-02-06,24.9,12.71,3.5,99.0,0.28,3.9384,4.73,0.0,0.2,-1.56,29.9870753,31.2118063
1984-02-07,18.73,8.85,5.5,99.48,0.05,3.7836,4.64,0.0,0.2,5.0,29.9870753,31.2118063
1984-02-08,19.91,6.42,4.88,99.82,0.0,2.9177,3.85,0.0,0.2,3.39,29.9870753,31.2118063
1984-02-09,20.25,7.01,4.25,99.81,0.0,3.9413,4.22,0.0,0.2,1.32,29.9870753,31.2118063
1984-02-10,24.14,7.97,3.24,99.75,0.0,4.0274,2.77,0.0,0.2,-2.23,29.9870753,31.2118063
1984-02-11,22.69,8.84,2.98,99.75,0.0,4.747,2.62,0.0,0.19,-3.37,29.9870753,31.2118063
1984-02-12,18.74,6.07,2.34,99.95,0.0,5.0237,2.49,0.0,0.19,-6.29,29.9870753,31.2118063
1984-02-13,17.25,3.32,3.24,100.27,0.0,4.9618,2.84,0.0,0.19,-2.33,29.9870753,31.2118063
1984-02-14,19.85,5.63,5.42,100.51,0.0,5.3153,2.32,0.0,0.19,4.86,29.9870753,31.2118063
1984-02-15,19.68,6.15,4.8,100.53,0.0,4.9591,2.82,0.0,0.19,2.89,29.9870753,31.2118063
1984-02-16,19.41,4.48,4.91,100.42,0.0,4.6927,2.32,0.0,0.18,3.47,29.9870753,31.2118063
1984-02-17,20.95,4.9,5.04,100.47,0.0,4.7724,2.64,0.0,0.18,3.78,29.9870753,31.2118063
1984-02-18,22.23,6.07,5.45,100.53,0.0,4.794,3.15,0.0,0.18,4.89,29.9870753,31.2118063
1984-02-19,22.04,7.82,5.48,100.43,0.0,4.879,2.89,0.0,0.18,4.68,29.9870753,31.2118063
1984-02-20,20.24,5.65,5.06,100.65,0.0,5.0302,2.76,0.0,0.18,3.74,29.9870753,31.2118063
1984-02-21,20.0,7.22,5.29,100.71,0.0,4.8504,2.94,0.0,0.18,4.55,29.9870753,31.2118063
1984-02-22,20.16,6.44,5.03,100.71,0.0,4.6702,3.57,0.0,0.18,3.79,29.9870753,31.2118063
1984-02-23,22.19,6.45,5.32,100.68,0.0,5.1962,3.66,0.0,0.18,4.52,29.9870753,31.2118063
1984-02-24,23.54,6.99,5.51,100.32,0.0,3.0396,3.5,0.0,0.17,4.9,29.9870753,31.2118063
1984-02-25,23.39,7.95,5.72,100.25,0.0,5.07,3.44,0.0,0.17,5.39,29.9870753,31.2118063
1984-02-26,22.17,7.87,5.45,100.36,0.0,5.3057,3.02,0.0,0.17,4.7,29.9870753,31.2118063
1984-02-27,21.73,6.21,5.38,100.52,0.0,5.3462,3.12,0.0,0.17,4.71,29.9870753,31.2118063
1984-02-28,23.96,6.1,4.87,100.54,0.0,5.1446,2.66,0.0,0.17,3.07,29.9870753,31.2118063
1984-02-29,26.5,6.71,4.2,100.28,0.0,5.7862,2.49,0.0,0.17,0.76,29.9870753,31.2118063
1984-03-01,26.51,10.01,3.38,100.14,0.0,5.1828,2.51,0.0,0.16,-1.88,29.9870753,31.2118063
1984-03-02,30.48,10.4,2.13,99.78,0.0,4.5715,1.5,0.0,0.16,-7.77,29.9870753,31.2118063
1984-03-03,28.03,11.01,2.97,99.44,0.0,4.9037,3.76,0.0,0.16,-5.28,29.9870753,31.2118063
1984-03-04,22.68,8.0,5.03,100.08,0.0,4.9339,1.95,0.0,0.16,3.48,29.9870753,31.2118063
1984-03-05,24.86,7.63,4.48,99.96,0.0,4.7513,2.62,0.0,0.15,1.51,29.9870753,31.2118063
1984-03-06,30.39,12.15,3.49,99.43,0.0,4.9414,3.75,0.0,0.15,-2.68,29.9870753,31.2118063
1984-03-07,22.35,11.61,4.89,99.82,0.0,4.7964,1.52,0.0,0.15,2.71,29.9870753,31.2118063
1984-03-08,23.46,9.54,4.16,99.57,0.0,4.0649,2.82,0.0,0.15,1.0,29.9870753,31.2118063
1984-03-09,28.02,14.52,4.8,98.85,0.0,3.8734,5.6,0.0,0.15,2.89,29.9870753,31.2118063
1984-03-10,22.8,9.71,4.4,99.81,0.0,5.8214,2.69,0.0,0.15,0.97,29.9870753,31.2118063
1984-03-11,22.31,7.99,3.58,100.05,0.0,5.0486,2.76,0.0,0.15,-1.56,29.9870753,31.2118063
1984-03-12,21.31,6.83,5.06,100.13,0.0,6.131,2.45,0.0,0.15,3.45,29.9870753,31.2118063
1984-03-13,20.25,7.11,5.24,99.9,0.02,4.6469,2.33,0.0,0.14,4.14,29.9870753,31.2118063
1984-03-14,21.35,8.06,5.45,99.54,0.03,5.491,2.73,0.0,0.14,4.76,29.9870753,31.2118063
1984-03-15,20.26,5.35,4.48,99.48,0.0,4.5394,1.82,0.0,0.14,1.85,29.9870753,31.2118063
1984-03-16,25.65,8.1,4.9,99.2,0.33,5.8622,1.92,0.0,0.15,3.23,29.9870753,31.2118063
1984-03-17,24.32,9.34,5.09,99.41,0.0,6.0214,3.5,0.0,0.15,3.79,29.9870753,31.2118063
1984-03-18,22.39,8.9,5.69,99.79,0.08,6.3043,2.99,0.0,0.15,5.19,29.9870753,31.2118063
1984-03-19,21.94,8.99,5.55,99.91,0.16,5.8682,2.66,0.0,0.15,4.87,29.9870753,31.2118063
1984-03-20,24.25,6.59,4.76,99.88,0.0,6.5225,3.14,0.0,0.15,2.52,29.9870753,31.2118063
1984-03-21,26.72,7.81,4.53,99.9,0.04,6.1682,3.01,0.0,0.15,1.89,29.9870753,31.2118063
1984-03-22,30.08,12.32,3.27,99.43,0.85,3.5678,3.94,0.0,0.16,-2.51,29.9870753,31.2118063
1984-03-23,28.51,15.15,4.19,99.11,0.26,3.7145,3.29,0.0,0.17,0.09,29.9870753,31.2118063
1984-03-24,25.37,12.55,6.84,99.27,1.49,2.141,2.59,0.0,0.2,8.04,29.9870753,31.2118063
1984-03-25,23.55,10.03,6.49,99.57,2.41,6.3,2.89,0.0,0.28,7.25,29.9870753,31.2118063
1984-03-26,22.31,9.56,5.77,100.03,0.33,5.8536,3.31,0.0,0.31,5.55,29.9870753,31.2118063
1984-03-27,23.08,7.37,5.24,100.38,0.0,6.8434,2.2,0.0,0.3,4.16,29.9870753,31.2118063
1984-03-28,24.82,7.98,5.62,100.46,0.0,7.1599,3.82,0.0,0.28,5.37,29.9870753,31.2118063
1984-03-29,25.67,8.65,5.92,100.27,0.0,7.2958,3.4,0.0,0.27,5.96,29.9870753,31.2118063
1984-03-30,26.51,8.65,5.85,100.08,0.0,7.2295,2.55,0.0,0.26,5.63,29.9870753,31.2118063
1984-03-31,28.18,9.16,5.22,100.05,0.0,7.1532,1.99,0.0,0.24,4.02,29.9870753,31.2118063
1984-04-01,29.15,10.85,5.56,100.13,0.0,6.3132,2.75,0.0,0.23,5.01,29.9870753,31.2118063
1984-04-02,28.38,10.29,6.1,100.04,0.0,6.3022,3.52,0.0,0.22,6.23,29.9870753,31.2118063
1984-04-03,29.0,9.92,6.13,99.84,0.0,7.0217,2.7,0.0,0.22,6.06,29.9870753,31.2118063
1984-04-04,31.65,10.46,5.08,99.58,0.0,6.0917,2.62,0.0,0.21,3.08,29.9870753,31.2118063
