date,temp_max,temp_min,humidity_specific,pressure,precipitation_total,solar_radiation,wind_speed,lat,lon
1984-01-01,20.63,9.76,6.57,101.57,0.1,3.317,3.08,30.4439168,30.9707264
1984-01-02,20.76,8.89,6.17,102.09,0.0,3.4673,2.22,30.4439168,30.9707264
1984-01-03,21.02,8.98,6.31,102.15,0.07,3.3485,1.62,30.4439168,30.9707264
1984-01-04,19.04,8.25,6.48,101.79,0.02,3.2179,1.81,30.4439168,30.9707264
1984-01-05,19.52,7.2,6.05,101.71,0.0,3.54,1.24,30.4439168,30.9707264
1984-01-06,18.41,8.94,6.02,101.34,0.0,2.5128,1.59,30.4439168,30.9707264
1984-01-07,19.27,9.48,4.38,101.36,0.0,2.4497,2.51,30.4439168,30.9707264
1984-01-08,18.7,6.96,4.23,101.6,0.02,3.7406,2.09,30.4439168,30.9707264
1984-01-09,19.5,4.54,4.41,101.87,0.0,3.8004,1.94,30.4439168,30.9707264
1984-01-10,20.92,5.96,5.67,101.95,0.02,3.3362,1.35,30.4439168,30.9707264
1984-01-11,20.41,6.95,5.91,101.69,0.0,3.4152,1.97,30.4439168,30.9707264
1984-01-12,16.92,9.8,5.89,101.08,0.0,2.9786,1.48,30.4439168,30.9707264
1984-01-13,18.0,9.1,3.71,100.98,0.0,3.7402,4.16,30.4439168,30.9707264
1984-01-14,16.31,8.01,5.13,101.29,0.02,3.3408,2.11,30.4439168,30.9707264
1984-01-15,16.26,8.99,6.61,101.27,0.4,0.8083,2.59,30.4439168,30.9707264
1984-01-16,19.06,8.77,6.36,101.74,0.74,3.6787,2.95,30.4439168,30.9707264
1984-01-17,18.04,8.03,5.33,101.53,1.34,3.0816,4.65,30.4439168,30.9707264
1984-01-18,17.91,8.7,4.89,101.52,0.18,1.71,3.57,30.4439168,30.9707264
1984-01-19,19.07,8.86,5.64,101.67,0.16,3.6718,1.61,30.4439168,30.9707264
1984-01-20,19.94,8.9,6.47,101.75,0.2,3.0835,1.69,30.4439168,30.9707264
1984-01-21,19.99,7.22,6.02,101.79,0.0,2.9822,2.19,30.4439168,30.9707264
1984-01-22,20.91,9.13,5.96,101.78,0.0,3.3708,1.97,30.4439168,30.9707264
1984-01-23,17.94,6.69,6.31,101.4,0.0,3.4447,1.22,30.4439168,30.9707264
1984-01-24,20.57,7.15,5.11,101.09,0.0,4.1832,1.53,30.4439168,30.9707264
1984-01-25,21.09,4.96,3.65,101.12,0.0,4.2511,2.98,30.4439168,30.9707264
1984-01-26,17.27,6.71,4.2,101.21,0.0,3.7387,4.52,30.4439168,30.9707264
1984-01-27,17.0,7.09,5.06,101.66,0.01,2.5298,4.18,30.4439168,30.9707264
1984-01-28,18.24,8.61,4.67,102.0,0.0,3.3931,2.97,30.4439168,30.9707264
1984-01-29,20.51,6.8,5.24,102.0,0.0,4.3253,1.69,30.4439168,30.9707264
1984-01-30,21.2,7.83,6.23,101.88,0.0,3.9106,1.33,30.4439168,30.9707264
1984-01-31,21.95,8.0,5.92,101.63,0.0,4.3978,0.98,30.4439168,30.9707264
1984-02-01,22.29,8.42,4.73,101.3,0.0,3.673,1.42,30.4439168,30.9707264
1984-02-02,29.13,10.51,3.29,100.63,0.0,4.0774,2.7,30.4439168,30.9707264
1984-02-03,22.62,7.63,4.99,100.98,0.0,4.0536,2.43,30.4439168,30.9707264
1984-02-04,21.82,8.77,5.99,101.28,0.0,4.1167,1.23,30.4439168,30.9707264
1984-02-05,23.67,7.58,6.31,100.9,0.0,4.033,2.22,30.4439168,30.9707264
1984-02-06,25.63,12.02,4.13,100.16,0.41,2.9014,3.87,30.4439168,30.9707264
1984-02-07,19.61,10.5,5.96,100.62,0.11,3.665,4.71,30.4439168,30.9707264
1984-02-08,20.88,7.48,4.93,100.99,0.0,4.446,4.02,30.4439168,30.9707264
1984-02-09,21.33,8.17,4.29,100.99,0.0,4.6524,4.06,30.4439168,30.9707264
1984-02-10,25.14,7.9,3.35,100.96,0.0,4.1383,2.55,30.4439168,30.9707264
1984-02-11,23.32,8.99,3.07,100.95,0.0,4.5113,2.71,30.4439168,30.9707264
1984-02-12,19.43,5.93,2.67,101.17,0.0,4.595,2.66,30.4439168,30.9707264
1984-02-13,18.54,4.76,3.67,101.48,0.0,4.6687,3.06,30.4439168,30.9707264
1984-02-14,20.86,6.95,5.67,101.78,0.0,4.9582,2.06,30.4439168,30.9707264
1984-02-15,20.67,6.91,4.84,101.82,0.0,4.6786,2.29,30.4439168,30.9707264
1984-02-16,20.45,5.66,5.2,101.7,0.0,4.9258,1.91,30.4439168,30.9707264
1984-02-17,22.04,6.47,5.28,101.75,0.0,4.937,2.21,30.4439168,30.9707264
1984-02-18,23.57,6.78,5.77,101.81,0.0,4.7962,2.52,30.4439168,30.9707264
1984-02-19,23.1,8.39,5.62,101.7,0.0,4.9536,2.49,30.4439168,30.9707264
1984-02-20,21.19,7.1,5.32,101.91,0.0,4.2878,2.55,30.4439168,30.9707264
1984-02-21,20.93,8.25,5.45,101.99,0.0,4.3157,2.61,30.4439168,30.9707264
1984-02-22,21.0,7.67,5.17,102.0,0.0,4.1566,3.1,30.4439168,30.9707264
1984-02-23,23.04,6.85,5.49,101.97,0.0,5.2322,2.99,30.4439168,30.9707264
1984-02-24,24.14,6.94,5.8,101.61,0.0,5.1473,3.03,30.4439168,30.9707264
1984-02-25,23.97,8.99,6.04,101.53,0.0,5.4262,3.15,30.4439168,30.9707264
1984-02-26,22.81,9.06,5.75,101.64,0.0,5.3556,2.39,30.4439168,30.9707264
1984-02-27,22.52,7.63,5.6,101.81,0.0,5.4653,2.49,30.4439168,30.9707264
1984-02-28,24.94,7.04,5.22,101.81,0.0,5.4629,2.03,30.4439168,30.9707264
1984-02-29,26.99,7.15,5.08,101.54,0.0,5.0659,1.88,30.4439168,30.9707264
1984-03-01,27.24,9.39,4.55,101.4,0.0,5.1439,2.11,30.4439168,30.9707264
1984-03-02,31.28,10.81,3.1,100.97,0.0,4.8113,1.24,30.4439168,30.9707264
1984-03-03,27.64,10.71,3.44,100.64,0.0,3.4219,3.6,30.4439168,30.9707264
1984-03-04,22.9,9.03,5.45,101.33,0.0,4.836,1.43,30.4439168,30.9707264
1984-03-05,25.12,8.24,5.28,101.22,0.0,5.1859,2.6,30.4439168,30.9707264
1984-03-06,30.94,10.66,4.52,100.64,0.0,3.672,3.58,30.4439168,30.9707264
1984-03-07,23.25,11.56,4.96,101.04,0.0,5.021,1.26,30.4439168,30.9707264
1984-03-08,23.55,10.13,4.99,100.85,0.0,2.9417,2.65,30.4439168,30.9707264
1984-03-09,28.54,13.3,5.75,100.02,0.0,2.5632,4.9,30.4439168,30.9707264
1984-03-10,23.77,10.27,5.0,101.0,0.0,5.2958,2.81,30.4439168,30.9707264
1984-03-11,23.14,7.68,4.6,101.26,0.0,5.0837,2.85,30.4439168,30.9707264
1984-03-12,22.46,7.67,5.57,101.34,0.0,5.5596,2.57,30.4439168,30.9707264
1984-03-13,21.04,7.12,5.59,101.12,0.01,4.0188,2.66,30.4439168,30.9707264
1984-03-14,21.93,8.72,5.74,100.76,0.03,5.3047,2.84,30.4439168,30.9707264
1984-03-15,21.65,7.12,4.51,100.69,0.0,4.7206,2.16,30.4439168,30.9707264
1984-03-16,26.95,7.69,5.19,100.44,0.22,6.0324,2.2,30.4439168,30.9707264
1984-03-17,25.33,9.98,5.99,100.6,0.03,5.1463,3.13,30.4439168,30.9707264
1984-03-18,23.1,8.67,6.17,101.0,0.15,5.4881,3.07,30.4439168,30.9707264
1984-03-19,23.04,8.54,5.78,101.16,0.01,5.6474,2.34,30.4439168,30.9707264
1984-03-20,25.25,7.25,5.13,101.15,0.0,6.0432,2.68,30.4439168,30.9707264
1984-03-21,27.65,7.83,5.47,101.16,0.01,5.9426,2.88,30.4439168,30.9707264
1984-03-22,30.13,11.25,4.2,100.63,1.35,1.9872,3.47,30.4439168,30.9707264
1984-03-23,29.23,15.12,5.17,100.31,0.95,2.3174,3.32,30.4439168,30.9707264
1984-03-24,26.64,12.44,7.28,100.49,2.19,5.0275,2.24,30.4439168,30.9707264
1984-03-25,24.6,10.75,7.0,100.78,2.1,5.2654,2.79,30.4439168,30.9707264
